date,institutional,other,individual,foreign,total,ticker
2016.11.30,-14349459300,-254056400,-30589182500,45192698200,0,011070
2016.12.31,26783322300,285578000,-34686260100,7617359800,0,011070
2017.1.31,22161318200,-1566450300,-54960023700,34365155800,0,011070
2017.2.28,-39031620600,-1211349100,-82863139100,1.23106E+11,0,011070
2017.3.31,-64133072500,-661728000,-47714789500,1.1251E+11,0,011070
2017.4.30,-47431579000,-824680500,-28743004500,76999264000,0,011070
2017.5.31,14668388000,-189976000,4305600000,-18784012000,0,011070
2017.6.30,94165927500,638620000,-8617208000,-86187339500,0,011070
2017.7.31,-34306199500,505338500,24311004500,9489856500,0,011070
2017.8.31,1.02914E+11,25433000,-56113762500,-46825514000,0,011070
2017.9.30,-12061538500,3229996500,1.89565E+11,-1.80734E+11,0,011070
2017.10.31,1.51128E+11,-1768194000,-1.16489E+11,-32870736000,0,011070
2017.11.30,17369305500,1672591500,60860070000,-79901967000,0,011070
2017.12.31,-47046908000,4742587000,1.41639E+11,-99334600000,0,011070
2018.1.31,-1.2374E+11,-173641500,2.27837E+11,-1.03924E+11,0,011070
2018.2.28,90855117000,2632260000,-28132624000,-65354753000,0,011070
2018.3.31,33874110500,-1486929500,18974886500,-51362067500,0,011070
2018.4.30,19186154000,3841531000,-7967971000,-15059714000,0,011070
2018.5.31,25347248500,4667797000,-1.87917E+11,1.57902E+11,0,011070
2018.6.30,-5915122500,-779769000,-86084683000,92779574500,0,011070
2018.7.31,-2601881500,-6290493000,-1.32578E+11,1.4147E+11,0,011070
2018.8.31,-1.17459E+11,-808665000,70813415000,47453853500,0,011070
2018.9.30,-74297475500,1334106500,87269556500,-14306187500,0,011070
2018.10.31,31127437500,-785455500,-30063656000,-278326000,0,011070
2018.11.30,-50472832200,-1138905000,1.04543E+11,-52930959000,0,011070
2018.12.31,-7719174000,-493940900,14579579000,-6366464100,0,011070
2019.1.31,7726891300,-374600000,-26026545500,18674254200,0,011070
2019.2.28,20834905000,23661200,-62387729600,41529163400,0,011070
2019.3.31,27718088500,160253800,-48704780600,20826438300,0,011070
2019.4.30,-2014418000,-671552000,-29443571000,32129541000,0,011070
2019.5.31,-8972524400,51429500,20320390600,-11399295700,0,011070
2019.6.30,41179666100,935058500,-9082153900,-33032570700,0,011070
2019.7.31,8845151000,-267978000,-21622507000,13045334000,0,011070
2019.8.31,-21603896700,-543000200,31547554900,-9400658000,0,011070
2019.9.30,-17643857100,196313300,-27626107600,45073651400,0,011070
2019.10.31,-17060452500,-503407500,-21067564000,38631424000,0,011070
2019.11.30,-18928791000,1366526500,-24868935500,42431200000,0,011070
2019.12.31,10648749500,114830000,-42172113500,31408534000,0,011070
2020.1.31,28111371000,-4394950000,-43520592500,19804171500,0,011070
2020.2.29,-16371002000,-1003694500,13095723000,4278973500,0,011070
2020.3.31,41018750500,2251526700,73804221200,-1.17074E+11,0,011070
2020.4.30,14849966000,-513370000,-13475578000,-861018000,0,011070
2020.5.31,3451888000,-1559494500,-61307902500,59415509000,0,011070
2020.6.30,65067452500,-707289000,-1.14741E+11,50381287000,0,011070
2020.7.31,-1.43599E+11,957391000,1.17691E+11,24950215000,0,011070
2020.8.31,-46434569000,-7109000,32493366500,13948311500,0,011070
2020.9.30,-53871036000,1253470000,-38320377000,90937943000,0,011070
2020.10.31,-3239154000,672464500,-6711796000,9278485500,0,011070
2020.11.30,-19655209000,1010880000,47321734500,-28677405500,0,011070
2020.12.31,64218449500,-208575000,-39533496500,-24476378000,0,011070
2021.1.31,52900581000,-878918500,32798606000,-84820268500,0,011070
2021.2.28,11601369500,1927271500,52841653000,-66370294000,0,011070
2021.3.31,-45670514500,4494423000,63242859500,-22066768000,0,011070
2021.4.30,-10713087500,2477313000,15746570000,-7510795500,0,011070
2021.5.31,-4725155500,-2208042000,25467885500,-18534688000,0,011070
2021.6.30,76246194000,-1846772000,-1.58784E+11,84384133500,0,011070
2021.7.31,36480225000,1195401000,-26511371000,-11164255000,0,011070
2021.8.31,-3867188500,-164703000,89120296500,-85088405000,0,011070
2021.9.30,24302689500,5080057000,68714312000,-98097058500,0,011070
2021.10.31,22996814000,407053500,43394522000,-66798389500,0,011070
2021.11.30,1.89721E+11,-4073345000,-2.64323E+11,78675419000,0,011070
2021.12.31,73273260000,55451000,-12702820500,-60625890500,0,011070
2013.4.30,32280427700,-1612585100,-60207879200,29540036600,0,012450
2013.5.31,-14871152400,-352977600,-11350770000,26574900000,0,012450
2013.6.30,27988046300,-518400700,-21446252900,-6023392700,0,012450
2013.7.31,7707850200,-6176999600,-93799198000,92268347400,0,012450
2013.8.31,16856673900,-3628635100,-20371356700,7143317900,0,012450
2013.9.30,-74703942800,-1911957000,52700149500,23915750300,0,012450
2013.10.31,-56754259100,-1011404900,81094483000,-23328819000,0,012450
2013.11.30,2453410000,1324342800,40932297200,-44710050000,0,012450
2013.12.31,8239504000,-731684700,8987015000,-16494834300,0,012450
2014.1.31,2034096000,970353400,9960590900,-12965040300,0,012450
2014.2.28,1182551800,-438394700,16951979700,-17696136800,0,012450
2014.3.31,52292412500,3101131600,-43000056900,-12393487200,0,012450
2014.4.30,11512113700,-1044593000,-37273461000,26805940300,0,012450
2014.5.31,6927010400,-1500057100,-10057699300,4630746000,0,012450
2014.6.30,-10456999900,-410644500,14456673400,-3589029000,0,012450
2014.7.31,-36499028600,655841850,47245831150,-11402644400,0,012450
2014.8.31,-43327058000,412645650,37772819200,5141593150,0,012450
