date,market_cap,volume,trading_value,shares,ticker
2019.10.31,4.78273E+12,8440785,3.73623E+11,111355765,000720
2019.11.30,4.56002E+12,7088404,3.09561E+11,111355765,000720
2019.12.31,4.71035E+12,7223747,3.04605E+11,111355765,000720
2020.1.31,4.25379E+12,11362743,4.54277E+11,111355765,000720
2020.2.29,3.86405E+12,10919696,4.13081E+11,111355765,000720
2020.3.31,3.05672E+12,28689975,7.64127E+11,111355765,000720
2020.4.30,3.90302E+12,24928071,7.92598E+11,111355765,000720
2020.5.31,3.80837E+12,15818768,5.34517E+11,111355765,000720
2020.6.30,3.68031E+12,35152625,1.26127E+12,111355765,000720
2020.7.31,3.8195E+12,17268502,5.9892E+11,111355765,000720
2020.8.31,3.59122E+12,22875213,7.88985E+11,111355765,000720
2020.9.30,3.39078E+12,12497243,3.97833E+11,111355765,000720
2020.10.31,3.41305E+12,11702156,3.64552E+11,111355765,000720
2020.11.30,3.74155E+12,23511587,7.86098E+11,111355765,000720
2020.12.31,4.17027E+12,28134361,1.04193E+12,111355765,000720
2021.1.31,4.48207E+12,43799344,1.88233E+12,111355765,000720
2021.2.28,4.43196E+12,15732249,6.70251E+11,111355765,000720
2021.3.31,4.90522E+12,17017686,7.19088E+11,111355765,000720
2021.4.30,5.61233E+12,31043564,1.49673E+12,111355765,000720
2021.5.31,6.39182E+12,20847190,1.11424E+12,111355765,000720
2021.6.30,6.49204E+12,23363636,1.31424E+12,111355765,000720
2021.7.31,6.09116E+12,18850375,1.08127E+12,111355765,000720
2021.8.31,6.18024E+12,12976885,6.7803E+11,111355765,000720
2021.9.30,5.72369E+12,9891025,5.31841E+11,111355765,000720
2021.10.31,5.60119E+12,7004436,3.54366E+11,111355765,000720
2021.11.30,4.92192E+12,8996831,4.39779E+11,111355765,000720
2021.12.31,4.94976E+12,13571001,6.36367E+11,111355765,000720
2013.4.30,3.56104E+12,28281961,3.06024E+11,326700891,006800
2013.5.31,3.64271E+12,29227765,3.30408E+11,326700891,006800
2013.6.30,3.28334E+12,20810267,2.13963E+11,326700891,006800
2013.7.31,3.25721E+12,17079101,1.69963E+11,326700891,006800
2013.8.31,3.05465E+12,14732680,1.40801E+11,326700891,006800
2013.9.30,3.21474E+12,17681449,1.75059E+11,326700891,006800
2013.10.31,3.23761E+12,20963542,2.09181E+11,326700891,006800
2013.11.30,3.00565E+12,25854294,2.35068E+11,326700891,006800
