date,ticker,open,high,low,close,volume
2015.2.28,086790,32300,32550,28400,30100,23826413
2015.3.31,086790,29950,30000,27850,28750,25895313
2015.4.30,086790,28600,33350,26850,31700,33611830
2015.5.31,086790,31900,32700,29100,29700,14086291
2015.6.30,086790,29750,29750,26950,29050,20455535
2015.7.31,086790,29100,31200,26700,29150,28952864
2015.8.31,086790,28950,30150,25100,27200,19243117
2015.9.30,086790,27050,28100,25800,26400,18258477
2015.10.31,086790,26250,29000,25900,27800,15382304
2015.11.30,086790,27400,28150,25150,25500,13622474
2015.12.31,086790,25550,25900,23600,23600,19587575
2016.1.31,086790,23550,23650,19450,21400,23484626
2016.2.29,086790,21500,23050,20300,20850,23280365
2016.3.31,086790,21350,24850,20800,24800,29982101
2016.4.30,086790,24850,27850,22550,25650,22659731
2016.5.31,086790,25650,25850,22700,25850,19269072
2016.6.30,086790,25500,26400,22450,23250,20458994
2016.7.31,086790,23350,28550,22150,27550,20710168
